title,ceremony_year,film_year,winner,imdb_id,imdb,imdb_votes,rt,rt_reviews,imdb_url,rt_url,academy_url,retrieved_at_utc
Anne of the Thousand Days,1970,1969,false,tt0064030,7.4,8925,43,14,https://www.imdb.com/title/tt0064030/,https://www.rottentomatoes.com/m/anne_of_the_thousand_days,https://www.oscars.org/oscars/ceremonies/1970,2026-09-15T17:21:20+00:00
Butch Cassidy and the Sundance Kid,1970,1969,false,tt0064115,8.0,239748,89,63,https://www.imdb.com/title/tt0064115/,https://www.rottentomatoes.com/m/1003318-butch_cassidy_and_the_sundance_kid,https://www.oscars.org/oscars/ceremonies/1970,2026-09-15T17:21:20+00:00
"Hello, Dolly!",1970,1969,false,tt0064418,7.1,18780,43,30,https://www.imdb.com/title/tt0064418/,https://www.rottentomatoes.com/m/hello_dolly,https://www.oscars.org/oscars/ceremonies/1970,2026-09-15T17:21:20+00:00
Midnight Cowboy,1970,1969,true,tt0064665,7.8,132802,89,114,https://www.imdb.com/title/tt0064665/,https://www.rottentomatoes.com/m/midnight_cowboy,https://www.oscars.org/oscars/ceremonies/1970,2026-09-15T17:21:20+00:00
Z,1970,1969,false,tt0065234,8.1,34424,94,53,https://www.imdb.com/title/tt0065234/,https://www.rottentomatoes.com/m/z,https://www.oscars.org/oscars/ceremonies/1970,2026-09-15T17:21:20+00:00
Airport,1971,1970,false,tt0065377,6.6,25141,72,18,https://www.imdb.com/title/tt0065377/,https://www.rottentomatoes.com/m/airport,https://www.oscars.org/oscars/ceremonies/1971,2026-09-15T17:21:20+00:00
Five Easy Pieces,1971,1970,false,tt0065724,7.3,45093,89,56,https://www.imdb.com/title/tt0065724/,https://www.rottentomatoes.com/m/five_easy_pieces,https://www.oscars.org/oscars/ceremonies/1971,2026-09-15T17:21:20+00:00
Love Story,1971,1970,false,tt0066011,6.9,40702,65,31,https://www.imdb.com/title/tt0066011/,https://www.rottentomatoes.com/m/love_story,https://www.oscars.org/oscars/ceremonies/1971,2026-09-15T17:21:20+00:00
M*A*S*H,1971,1970,false,tt0066026,7.3,83678,86,58,https://www.imdb.com/title/tt0066026/,https://www.rottentomatoes.com/m/mash,https://www.oscars.org/oscars/ceremonies/1971,2026-09-15T17:21:20+00:00
Patton,1971,1970,true,tt0066206,7.9,114208,92,51,https://www.imdb.com/title/tt0066206/,https://www.rottentomatoes.com/m/patton,https://www.oscars.org/oscars/ceremonies/1971,2026-09-15T17:21:20+00:00
A Clockwork Orange,1972,1971,false,tt0066921,8.2,944710,86,85,https://www.imdb.com/title/tt0066921/,https://www.rottentomatoes.com/m/clockwork_orange,https://www.oscars.org/oscars/ceremonies/1972,2026-09-15T17:21:20+00:00
Fiddler on the Roof,1972,1971,false,tt0067093,8.0,52812,81,78,https://www.imdb.com/title/tt0067093/,https://www.rottentomatoes.com/m/fiddler_on_the_roof,https://www.oscars.org/oscars/ceremonies/1972,2026-09-15T17:21:20+00:00
The French Connection,1972,1971,true,tt0067116,7.6,152446,97,93,https://www.imdb.com/title/tt0067116/,https://www.rottentomatoes.com/m/french_connection,https://www.oscars.org/oscars/ceremonies/1972,2026-09-15T17:21:20+00:00
