year,count,imdb_mean,rt_mean,combined_mean,spread
1970,5,7.68,71.6,74.2,13.504073459515837
1971,5,7.2,80.8,76.4,7.165193647069143
1972,5,7.8,85.8,81.9,6.807348970047004
1973,5,8.02,92.8,86.5,4.266145801540309
1974,5,7.62,88.8,82.5,4.381780460041329
1975,5,7.86,89,83.8,8.121576201698781
1976,5,8.08,90,85.4,3.7868192457522976
1977,5,7.88,89.4,84.1,4.127953488110059
1978,5,7.54,80.6,78.0,9.348796714016196
1979,5,7.4,86.2,80.1,2.9563490998188966
1980,5,7.8,91,84.5,2.0
1981,5,7.76,87.6,82.6,3.8
1982,5,7.54,91.8,83.6,3.97994974842648
1983,5,7.74,92.2,84.8,2.4
1984,5,7.4,86,80.0,6.300793600809346
1985,5,7.62,87.8,82.0,4.012480529547776
1986,5,7.24,80,76.2,5.372150407425317
1987,5,7.5200000000000005,85,80.1,6.71863081289633
1988,5,7.28,88.8,80.8,4.955804677345546
1989,5,7.36,85,79.3,3.6687872655688283
1990,5,7.58,88,81.9,3.5270384177096794
1991,5,7.819999999999999,80.4,79.3,7.032780389006897
1992,5,7.64,85.6,81.0,7.9498427657407165
1993,5,7.7,90.4,83.7,2.839013913315678
1994,5,8.04,94.8,87.6,3.6796738985948196
1995,5,8.3,89,86.0,4.03732584763727
1996,5,7.680000000000001,90.6,83.7,2.839013913315678
1997,5,7.68,90.6,83.7,3.5860842154082215
1998,5,7.9,93.2,86.1,3.7067505985701277
1999,5,7.859999999999999,86,82.3,4.308131845707603
2000,5,8.06,83.8,82.2,4.874423042781577
2001,5,7.7,83.8,80.4,6.748333127521195
2002,5,7.84,84,81.2,5.182663407939975
2003,5,7.9,85.6,82.3,7.173562573784381
2004,5,7.88,88,83.4,5.71314274283428
2005,5,7.68,87.2,82.0,3.1304951684997055
2006,5,7.5200000000000005,84.4,79.8,3.2649655434629015
2007,5,7.76,87.6,82.6,5.94474557908074
2008,5,7.76,90,83.8,2.821347195933177
2009,5,7.7,82.6,79.8,6.438944012802099
2010,10,7.65,88.4,82.45,5.027176145710433
2011,10,7.79,92.5,85.2,2.6095976701399777
2012,9,7.4222222222222225,82.44444444444444,78.33333333333333,8.624899355290408
2013,9,7.677777777777778,88,82.38888888888889,4.141777515470178
2014,9,7.8,91.44444444444444,84.72222222222223,2.3817723455806683
2015,8,7.8375,89.375,83.875,5.3779061910747386
2016,8,7.8999999999999995,91.625,85.3125,3.1017887984193897
2017,9,7.7555555555555555,92.11111111111111,84.83333333333333,1.9436506316151
2018,9,7.5777777777777775,92.11111111111111,83.94444444444444,2.9292058503253484
2019,8,7.6,83.875,79.9375,6.714897151111103
2020,9,8.0,88.77777777777777,84.38888888888889,4.550810536949421
2021,8,7.5,93,84.0,3.9764934301467165
2022,10,7.33,86.1,79.7,6.2697687357668945
2023,10,7.51,87.2,81.15,5.3011791141216875
2024,10,7.4799999999999995,91.8,83.3,4.765501022977542
2025,10,7.25,88.8,80.65,7.235502746872535
2026,10,7.52,91,83.1,2.5179356624028344
